,Date,Source,Site ID,POC,CO,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
101,02/05/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
102,02/06/2024,AQS,20900034,1,1.1,ppm,13,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
103,02/07/2024,AQS,20900034,1,1.4,ppm,16,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
104,02/08/2024,AQS,20900034,1,1.9,ppm,22,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
105,02/09/2024,AQS,20900034,1,1.9,ppm,22,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
106,02/10/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
107,02/11/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
108,02/12/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
109,02/13/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
110,02/14/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
111,02/15/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
112,02/16/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413
